Term_PK	Term_Name	Identifier	Is_Leaf	Parent_term_type	Parent_term_name	Parent_term_ID	GrandParent_term_type	GrandParent_term_name	GrandParent_term_ID
NCIT:C25330MS1	Duration	NCIT:C25330	1	IsA	Temporal Qualifier	NCIT:C21514	IsA	Qualifier	NCIT:C41009
NCIT:C45781MS1	Density	NCIT:C45781	1	IsA	Characteristic	NCIT:C25447	IsA	Property or Attribute	NCIT:C20189
NCIT:C68811MS1	Cover	NCIT:C68811	1	IsA	Action	NCIT:C25404	IsA	Activity	NCIT:C43431
NCIT:C79083MS1	Outlier	NCIT:C79083	1	IsA	Conceptual Entity	NCIT:C20181			
NCIT:C21514MS1	Temporal Qualifier	NCIT:C21514	0	IsA	Qualifier	NCIT:C41009	IsA	Property or Attribute	NCIT:C20189
NCIT:C41009MS1	Qualifier	NCIT:C41009	0	IsA	Property or Attribute	NCIT:C20189			
NCIT:C25447MS1	Characteristic	NCIT:C25447	0	IsA	Property or Attribute	NCIT:C20189			
NCIT:C20189MS1	Property or Attribute	NCIT:C20189	0						
NCIT:C25404MS1	Action	NCIT:C25404	0	IsA	Activity	NCIT:C43431			
NCIT:C43431MS1	Activity	NCIT:C43431	0						
NCIT:C20181MS1	Conceptual Entity	NCIT:C20181	0						
NCIT:C16847MS1	Technique	NCIT:C16847	0	IsA	Activity	NCIT:C43431			
NCIT:C19044MS1	Statistical Technique	NCIT:C19044	0	IsA	Technique	NCIT:C16847	IsA	Activity	NCIT:C43431
NCIT:C60694MS1	Principal Component	NCIT:C60694	1	IsA	Statistical Technique	NCIT:C19044	IsA	Technique	NCIT:C16847
NCIT:C25337MS1	Number	NCIT:C25337	0	IsA	Property or Attribute	NCIT:C20189			
NCIT:C150827MS1	Number of Occurrences	NCIT:C150827	1	IsA	Number	NCIT:C25337	IsA	Property or Attribute	NCIT:C20189
MS:0000000MS1	Proteomics Standards Initiative Mass Spectrometry Vocabularies	MS:0000000	0						
MS:1000001MS1	sample number	MS:1000001	1	IsA	sample attribute	MS:1000548	IsA	object attribute	MS:1000547
MS:1000001MS1	sample number	MS:1000001	1	IsA	sample attribute	MS:1000548	PartOf	sample	MS:1000457
MS:1000002MS1	sample name	MS:1000002	1	IsA	sample attribute	MS:1000548	IsA	object attribute	MS:1000547
MS:1000002MS1	sample name	MS:1000002	1	IsA	sample attribute	MS:1000548	PartOf	sample	MS:1000457
MS:1000003MS1	sample state	MS:1000003	0	IsA	sample attribute	MS:1000548	IsA	object attribute	MS:1000547
MS:1000003MS1	sample state	MS:1000003	0	IsA	sample attribute	MS:1000548	PartOf	sample	MS:1000457
MS:1000004MS1	sample mass	MS:1000004	1	IsA	sample attribute	MS:1000548	IsA	object attribute	MS:1000547
MS:1000004MS1	sample mass	MS:1000004	1	IsA	sample attribute	MS:1000548	PartOf	sample	MS:1000457
MS:1000004MS1	sample mass	MS:1000004	1	HasUnits	gram	UO:0000021	IsA	UO:0000002	UO:0000002
MS:1000005MS1	sample volume	MS:1000005	1	IsA	sample attribute	MS:1000548	IsA	object attribute	MS:1000547
MS:1000005MS1	sample volume	MS:1000005	1	IsA	sample attribute	MS:1000548	PartOf	sample	MS:1000457
MS:1000005MS1	sample volume	MS:1000005	1	HasUnits	milliliter	UO:0000098	IsA	UO:0000095	UO:0000095
MS:1000006MS1	sample concentration	MS:1000006	1	IsA	sample attribute	MS:1000548	IsA	object attribute	MS:1000547
MS:1000006MS1	sample concentration	MS:1000006	1	IsA	sample attribute	MS:1000548	PartOf	sample	MS:1000457
MS:1000006MS1	sample concentration	MS:1000006	1	HasUnits	gram per liter	UO:0000175	IsA	UO:0000052	UO:0000052
MS:1000007MS1	inlet type	MS:1000007	0	PartOf	source	MS:1000458	PartOf	instrument	MS:1000463
MS:1000008MS1	ionization type	MS:1000008	0	PartOf	source	MS:1000458	PartOf	instrument	MS:1000463
MS:1000009MS1	ionization mode	MS:1000009	1						
MS:1000010MS1	analyzer type	MS:1000010	1						
MS:1000011MS1	mass resolution	MS:1000011	1	IsA	scan attribute	MS:1000503	IsA	object attribute	MS:1000547
MS:1000011MS1	mass resolution	MS:1000011	1	IsA	scan attribute	MS:1000503	PartOf	scan	MS:1000441
MS:1000012MS1	resolution measurement method	MS:1000012	0	IsA	measurement method	MS:1000596	PartOf	spectrum generation information	MS:1001458
MS:1000013MS1	resolution type	MS:1000013	1						
MS:1000014MS1	accuracy	MS:1000014	1	IsA	mass analyzer attribute	MS:1000480	PartOf	mass analyzer	MS:1000451
MS:1000014MS1	accuracy	MS:1000014	1	HasUnits	m/z	MS:1000040	IsA	unit	UO:0000000
MS:1000014MS1	accuracy	MS:1000014	1	HasUnits	parts per million	UO:0000169	IsA	UO:0000166	UO:0000166
