..\docs\psi-ms_3.84.0.obo /StripQuotes /NoP /NoObsolete

Term_PK	Term_Name	Identifier	Is_Leaf	Definition
MS:0000000MS1	Proteomics Standards Initiative Mass Spectrometry Vocabularies	MS:0000000	0	Proteomics Standards Initiative Mass Spectrometry Vocabularies.
MS:1000001MS1	sample number	MS:1000001	1	A reference number relevant to the sample under study.
MS:1000002MS1	sample name	MS:1000002	1	A reference string relevant to the sample under study.
MS:1000003MS1	sample state	MS:1000003	0	The chemical phase of a pure sample, or the state of a mixed sample.
MS:1000004MS1	sample mass	MS:1000004	1	Total mass of sample used.
MS:1000005MS1	sample volume	MS:1000005	1	Total volume of solution used.
MS:1000006MS1	sample concentration	MS:1000006	1	Concentration of sample in picomol/ul, femtomol/ul or attomol/ul solution used.
MS:1000007MS1	inlet type	MS:1000007	0	The nature of the sample inlet.
MS:1000008MS1	ionization type	MS:1000008	0	The method by which gas phase ions are generated from the sample.
MS:1000011MS1	mass resolution	MS:1000011	1	Smallest mass difference between two equal magnitude peaks so that the valley between them is a specified fraction of the peak height.
MS:1000012MS1	resolution measurement method	MS:1000012	0	Which of the available standard measures is used to define whether two peaks are separate.
MS:1000014MS1	accuracy	MS:1000014	1	Accuracy is the degree of conformity of a measured mass to its actual value.
MS:1000015MS1	scan rate	MS:1000015	1	Rate in Th/sec for scanning analyzers.
MS:1000016MS1	scan start time	MS:1000016	1	The time that an analyzer started a scan, relative to the start of the MS run.
MS:1000018MS1	scan direction	MS:1000018	0	Direction in terms of m/z of the scan for scanning analyzers (low to high, or high to low).
MS:1000019MS1	scan law	MS:1000019	0	Describes the function in control of the m/z scan (for scanning instruments). Commonly the scan function is linear, but in principle any function can be used.
MS:1000020MS1	scanning method	MS:1000020	1	Describes the acquisition data type produced by a tandem mass spectrometry experiment.
MS:1000021MS1	reflectron state	MS:1000021	0	Status of the reflectron, turned on or off.
MS:1000022MS1	TOF Total Path Length	MS:1000022	1	The length of the field free drift space in a time of flight mass spectrometer.
MS:1000024MS1	final MS exponent	MS:1000024	1	Final MS level achieved when performing PFF with the ion trap (e.g. MS E10).
MS:1000025MS1	magnetic field strength	MS:1000025	1	A property of space that produces a force on a charged particle equal to qv x B where q is the particle charge and v its velocity.
MS:1000026MS1	detector type	MS:1000026	0	Type of detector used in the mass spectrometer.
MS:1000027MS1	detector acquisition mode	MS:1000027	0	Method by which detector signal is acquired by the data system.
MS:1000028MS1	detector resolution	MS:1000028	1	The resolving power of the detector to detect the smallest difference between two ions so that the valley between them is a specified fraction of the peak height.
MS:1000029MS1	sampling frequency	MS:1000029	1	The rate of signal sampling (measurement) with respect to time.
MS:1000031MS1	instrument model	MS:1000031	0	Instrument model name not including the vendor's name.
MS:1000032MS1	customization	MS:1000032	1	Free text description of a single customization made to the instrument; for several modifications, use several entries.
MS:1000033MS1	deisotoping	MS:1000033	1	The removal of isotope peaks to represent the fragment ion as one data point and is commonly done to reduce complexity. It is done in conjunction with the charge state deconvolution.
MS:1000034MS1	charge deconvolution	MS:1000034	1	The determination of the mass of an ion based on the mass spectral peaks that represent multiple-charge ions.
MS:1000035MS1	peak picking	MS:1000035	0	Spectral peak processing conducted on the acquired data to convert profile data to centroided data.
MS:1000040MS1	m/z	MS:1000040	0	Three-character symbol m/z is used to denote the quantity formed by dividing the mass of an ion in unified atomic mass units by its charge number (regardless of sign). The symbol is written in italicized lower case letters with no spaces. Note 1: The term mass-to-charge-ratio is deprecated. Mass-to-charge ratio has been used for the abscissa of a mass spectrum, although the quantity measured is not the quotient of the ion's mass to its electric charge. The three-character symbol m/z is recommended for the quantity that is the independent variable in a mass spectrum Note 2: The proposed unit thomson (Th) is deprecated.
MS:1000041MS1	charge state	MS:1000041	1	The charge state of the ion, single or multiple and positive or negatively charged.
MS:1000042MS1	peak intensity	MS:1000042	1	Intensity of ions as measured by the height or area of a peak in a mass spectrum.
MS:1000043MS1	intensity unit	MS:1000043	0	Intensity units are commonly arbitrary. Detected in counts per second (cps) when using counting detectors, but measured in volts when using analog detectors.
MS:1000044MS1	dissociation method	MS:1000044	0	Fragmentation method used for dissociation or fragmentation.
MS:1000045MS1	collision energy	MS:1000045	0	Energy for an ion experiencing collision with a stationary gas particle resulting in dissociation of the ion.
MS:1000047MS1	emulsion	MS:1000047	1	State if the sample is in emulsion form.
MS:1000048MS1	gaseous sample state	MS:1000048	1	State if the sample is in gaseous form.
MS:1000049MS1	liquid sample state	MS:1000049	1	State if the sample is in liquid form.
MS:1000050MS1	solid sample state	MS:1000050	1	State if the sample is in solid form.
MS:1000051MS1	solution	MS:1000051	1	State if the sample is in solution form.
MS:1000052MS1	suspension	MS:1000052	1	State if the sample is in suspension form.
MS:1000053MS1	sample batch	MS:1000053	1	Sample batch lot identifier.
MS:1000055MS1	continuous flow fast atom bombardment	MS:1000055	1	Fast atom bombardment ionization in which the analyte in solution is entrained in a flowing liquid matrix.
MS:1000056MS1	direct inlet	MS:1000056	1	The sample is directly inserted into the ion source, usually on the end of a heatable probe.
MS:1000057MS1	electrospray inlet	MS:1000057	0	Inlet used for introducing the liquid sample into an electrospray ionization source.
MS:1000058MS1	flow injection analysis	MS:1000058	1	Sample is directly injected or infused into the ionization source.
MS:1000059MS1	inductively coupled plasma	MS:1000059	1	A gas discharge ion source in which the energy to the plasma is supplied by electromagnetic induction.
MS:1000060MS1	infusion	MS:1000060	1	The continuous flow of solution of a sample into the ionization source.
MS:1000061MS1	jet separator	MS:1000061	1	A device that separates carrier gas from gaseous analyte molecules on the basis of diffusivity.
MS:1000062MS1	membrane separator	MS:1000062	1	A device to separate carrier molecules from analyte molecules on the basis of ease of diffusion across a semipermeable membrane.
MS:1000063MS1	moving belt	MS:1000063	1	Continuous moving surface in the form of a belt which passes through an ion source carrying analyte molecules.
MS:1000064MS1	moving wire	MS:1000064	1	Continuous moving surface in the form of a wire which passes through an ion source carrying analyte molecules.
MS:1000065MS1	open split	MS:1000065	1	A division of flowing stream of liquid into two streams.
MS:1000066MS1	particle beam	MS:1000066	1	Method for generating ions from a solution of an analyte.
MS:1000067MS1	reservoir	MS:1000067	1	A sample inlet method involving a reservoir.
MS:1000068MS1	septum	MS:1000068	1	A disc composed of a flexible material that seals the entrance to the reservoir. Can also be entrance to the vacuum chamber.
MS:1000069MS1	thermospray inlet	MS:1000069	1	A method for generating gas phase ions from a solution of an analyte by rapid heating of the sample.
MS:1000070MS1	atmospheric pressure chemical ionization	MS:1000070	1	Chemical ionization that takes place at atmospheric pressure as opposed to the reduced pressure is normally used for chemical ionization.
MS:1000071MS1	chemical ionization	MS:1000071	1	The formation of a new ion by the reaction of a neutral species with an ion. The process may involve transfer of an electron, a proton or other charged species between the reactants. When a positive ion results from chemical ionization the term may be used without qualification. When a negative ion results the term negative ion chemical ionization should be used. Note that this term is not synonymous with chemi-ionization.
MS:1000073MS1	electrospray ionization	MS:1000073	0	A process in which ionized species in the gas phase are produced from an analyte-containing solution via highly charged fine droplets, by means of spraying the solution from a narrow-bore needle tip at atmospheric pressure in the presence of a high electric field. When a pressurized gas is used to aid in the formation of a stable spray, the term pneumatically assisted electrospray ionization is used. The term ion spray is not recommended.
MS:1000074MS1	fast atom bombardment ionization	MS:1000074	1	The ionization of any species by the interaction of a focused beam of neutral atoms having a translational energy of several thousand eV with a sample that is typically dissolved in a solvent matrix. See also secondary ionization.
MS:1000075MS1	matrix-assisted laser desorption ionization	MS:1000075	1	The formation of gas-phase ions from molecules that are present in a solid or solvent matrix that is irradiated with a pulsed laser. See also laser desorption/ionization.
MS:1000078MS1	axial ejection linear ion trap	MS:1000078	1	A linear ion trap mass spectrometer where ions are ejected along the axis of the analyzer.
MS:1000079MS1	fourier transform ion cyclotron resonance mass spectrometer	MS:1000079	1	A mass spectrometer based on the principle of ion cyclotron resonance in which an ion in a magnetic field moves in a circular orbit at a frequency characteristic of its m/z value. Ions are coherently excited to a larger radius orbit using a pulse of radio frequency energy and their image charge is detected on receiver plates as a time domain signal. Fourier transformation of the time domain signal results in a frequency domain signal which is converted to a mass spectrum based in the inverse relationship between frequency and m/z.
MS:1000080MS1	magnetic sector	MS:1000080	1	A device that produces a magnetic field perpendicular to a charged particle beam that deflects the beam to an extent that is proportional to the particle momentum per unit charge. For a monoenergetic beam, the deflection is proportional to m/z.
MS:1000081MS1	quadrupole	MS:1000081	1	A mass spectrometer that consists of four parallel rods whose centers form the corners of a square and whose opposing poles are connected. The voltage applied to the rods is a superposition of a static potential and a sinusoidal radio frequency potential. The motion of an ion in the x and y dimensions is described by the Matthieu equation whose solutions show that ions in a particular m/z range can be transmitted along the z axis.
MS:1000082MS1	quadrupole ion trap	MS:1000082	1	Quadrupole Ion Trap mass analyzer captures the ions in a three dimensional ion trap and then selectively ejects them by varying the RF and DC potentials.
MS:1000083MS1	radial ejection linear ion trap	MS:1000083	1	A linear ion trap mass spectrometer where ions are ejected along the radius of the analyzer.
MS:1000084MS1	time-of-flight	MS:1000084	1	Instrument that separates ions by m/z in a field-free region after acceleration to a fixed acceleration energy.
MS:1000085MS1	baseline	MS:1000085	1	An attribute of resolution when recording the detector response in absence of the analyte.
MS:1000086MS1	full width at half-maximum	MS:1000086	1	A measure of resolution represented as width of the peak at half peak height.
MS:1000087MS1	ten percent valley	MS:1000087	1	An attribute of resolution when the ratio between adjacent signals is 10% of the signal height.
MS:1000092MS1	decreasing m/z scan	MS:1000092	1	High to low direction in terms of m/z of the scan for scanning analyzers.
MS:1000093MS1	increasing m/z scan	MS:1000093	1	Low to high direction in terms of m/z of the scan for scanning analyzers.
MS:1000094MS1	exponential	MS:1000094	1	The mass scan is done in exponential mode.
MS:1000096MS1	quadratic	MS:1000096	1	The mass scan is done in quadratic mode.
MS:1000105MS1	reflectron off	MS:1000105	1	Reflectron is off.
MS:1000106MS1	reflectron on	MS:1000106	1	Reflectron is on.
MS:1000107MS1	channeltron	MS:1000107	1	A horn-shaped (or cone-shaped) continuous dynode particle multiplier. The ion strikes the inner surface of the device and induces the production of secondary electrons that in turn impinge on the inner surfaces to produce more secondary electrons. This avalanche effect produces an increase in signal in the final measured current pulse.
MS:1000108MS1	conversion dynode electron multiplier	MS:1000108	1	A surface that is held at high potential so that ions striking the surface produce electrons that are subsequently detected.
MS:1000109MS1	conversion dynode photomultiplier	MS:1000109	1	A detector in which ions strike a conversion dynode to produce electrons that in turn generate photons through a phosphorescent screen that are detected by a photomultiplier.
MS:1000110MS1	daly detector	MS:1000110	1	Detector consisting of a conversion dynode, scintillator and photomultiplier. The metal knob at high potential emits secondary electrons when ions impinge on the surface. The secondary electrons are accelerated onto the scintillator that produces light that is then detected by the photomultiplier detector.
MS:1000111MS1	electron multiplier tube	MS:1000111	1	A device to amplify the current of a beam or packet of charged particles or photons by incidence upon the surface of an electrode to produce secondary electrons.
MS:1000112MS1	faraday cup	MS:1000112	1	A conducting cup or chamber that intercepts a charged particle beam and is electrically connected to a current measuring device.
MS:1000113MS1	focal plane array	MS:1000113	1	An array of detectors for spatially disperse ion beams in which all ions simultaneously impinge on the detector plane.
MS:1000114MS1	microchannel plate detector	MS:1000114	1	A thin plate that contains a closely spaced array of channels that each act as a continuous dynode particle multiplier. A charged particle, fast neutral particle, or photon striking the plate causes a cascade of secondary electrons that ultimately exits the opposite side of the plate.
MS:1000115MS1	multi-collector	MS:1000115	1	A detector system commonly used in inductively coupled plasma mass spectrometers.
MS:1000116MS1	photomultiplier	MS:1000116	1	A detector for conversion of the ion/electron signal into photon(s) which are then amplified and detected.
MS:1000117MS1	analog-digital converter	MS:1000117	1	Analog-to-digital converter (abbreviated ADC, A/D or A to D) is an electronic integrated circuit (i/c) that converts continuous signals to discrete digital numbers.
MS:1000118MS1	pulse counting	MS:1000118	1	Definition to do.
MS:1000119MS1	time-digital converter	MS:1000119	1	A device for converting a signal of sporadic pluses into a digital representation of their time indices.
MS:1000120MS1	transient recorder	MS:1000120	1	A detector acquisition mode used for detecting transient signals.
MS:1000121MS1	SCIEX instrument model	MS:1000121	0	.
MS:1000122MS1	Bruker Daltonics instrument model	MS:1000122	0	Bruker Daltonics' instrument model.
MS:1000123MS1	IonSpec instrument model	MS:1000123	0	IonSpec corporation instrument model.
MS:1000124MS1	Shimadzu instrument model	MS:1000124	0	Shimadzu corporation instrument model.
MS:1000125MS1	Thermo Finnigan instrument model	MS:1000125	0	ThermoFinnigan from Thermo Electron Corporation instrument model.
MS:1000126MS1	Waters instrument model	MS:1000126	0	Waters Corporation instrument model.
MS:1000127MS1	centroid spectrum	MS:1000127	1	Processing of profile data to produce spectra that contains discrete peaks of zero width. Often used to reduce the size of dataset.
MS:1000128MS1	profile spectrum	MS:1000128	1	A profile mass spectrum is created when data is recorded with ion current (counts per second) on one axis and mass/charge ratio on another axis.
MS:1000129MS1	negative scan	MS:1000129	1	Polarity of the scan is negative.
MS:1000130MS1	positive scan	MS:1000130	1	Polarity of the scan is positive.
MS:1000131MS1	number of detector counts	MS:1000131	0	The number of counted events observed in one or a group of elements of a detector.
